index,solution,solute,'det_sv_NdUnfilled','det_sv_NfUnfilled','det_sv_NUnfilled','AVE_sv_NsUnfilled','AVE_sv_NfUnfilled','AVE_sv_NUnfilled','AVE_sv_GSmagmom','AVE_sv_frac_pValence','AVE_sv_frac_dValence','AVE_sv_EA（wiki)','AVE_Electrochemical weight equivalent_sv','reci_det_sv_MeltingT','reci_det_sv_EA（wiki)','reci_det_sv_Volume','reci_det_Electrochemical weight equivalent_sv','reci_det_Electronegativity absolute_sv','reci_det_Radii pseudo-potential (Zunger)_sv','reci_det_sv_nw','reci_det_Energy cohesive (Brewer)_sv','reci_det_Enthalpy of vacancies (Miedema)_sv','reci_det_Nuclear charge effective (Slater)_sv','reci_ave_sv_EA（wiki)','reci_ave_sv_R_ionic(wiki)','reci_ave_sv_Ve','reci_ave_Electrochemical weight equivalent_sv','reci_ave_Charge nuclear effective (Clementi)_sv','reci_ave_Distance from valence electron (Schubert)_sv','reci_ave_Electronegativity (Martynov&Batsanov)_sv','reci_ave_Electronegativity absolute_sv','reci_ave_Radii pseudo-potential (Zunger)_sv','reci_ave_Enthalpy of vacancies (Miedema)_sv','reci_ave_Nuclear charge effective (Slater)_sv','exp_det_sv_CovalentRadius','exp_det_sv_Electronegativity（Pauling scale）','exp_det_sv_NsValence','exp_det_sv_NdValence','exp_det_sv_NsUnfilled','exp_det_sv_NpUnfilled','exp_det_sv_NdUnfilled','exp_det_sv_NUnfilled','exp_det_sv_GSmagmom','exp_det_sv_frac_sValence','exp_det_sv_frac_pValence','exp_det_sv_frac_dValence','exp_det_sv_frac_fValence','exp_det_sv_EA（wiki)','exp_det_sv_Ionic energy/ev','exp_det_sv_R_ionic(wiki)','exp_det_Phi_sv','exp_det_Electrochemical weight equivalent_sv','exp_det_Atomic electron scattering factor at 0.5_sv','exp_det_Charge nuclear effective (Clementi)_sv','exp_det_Compression modulus_sv','exp_det_Distance from core electron (Schubert)_sv','exp_det_Distance from valence electron (Schubert)_sv','exp_det_Electronegativity (Alfred-Rochow)_sv','exp_det_Electronegativity (Martynov&Batsanov)_sv','exp_det_Electronegativity absolute_sv','exp_det_Radii pseudo-potential (Zunger)_sv','exp_det_sv_nw','exp_det_Energy cohesive (Brewer)_sv','exp_det_Nuclear charge effective (Slater)_sv','cmax','MA',ev_ratio,sf,N_sv,N_so,sv_Volume,so_Volume
76,Co,Ge,-3,0,1,0,0,3.5,0.77425,0.07145,0.74605,0.9474682,0.246735,0.00025988,-0.698738056,-0.045677648,2.042384974,-0.015166835,0.145976136,0.202537894,0.031949827,0.010774411,-0.079419106,1.160611946,1.207624036,0.713499404,4.295693944,1.63E-01,0.689852773,0.541953956,0.224974722,0.568037573,0.012794613,0.216700703,0.941764534,1.138828383,1,20.08553692,1,54.59815003,0.049787068,2.718281828,0.212566585,0.923762754,1.15E+00,0.938474119,1,1.769003511,1.30E+00,1.083287068,0.57694981,0.889309464,1.221402758,3.320116923,0.319180023,1.665291195,2.339646852,1.377127764,1.309964451,1.35,0.631283646,0.0614,0.582748252,5.754602676,17,-2.03E+00,0.56574,15.08,27,32,11.13,22.64
230,Ni,In,-2,0,3,0,0,3.5,0.2977,0.03845,0.7846,0.77054,0.35025,0.001748231,1.740524586,-0.05316676,-0.765859415,0.095307918,0.029089282,0.438432836,0.171600172,0.014046823,-0.04691358,1.734447021,1.134324532,0.705604167,2.905570408,1.47E-01,0.389805097,0.590839375,0.274926686,0.473260237,0.014715719,0.22345679,1.197217363,0.878095431,1,7.389056099,1,148.4131591,0.135335283,20.08553692,0.551341985,9.55E-01,1.08E+00,9.70E-01,1,0.461515334,0.123114557,1.11627807,0.272531793,1.096715715,2.203396426,15.79984295,0.234804976,1.433329415,0.548811636,0.771051586,0.878095431,0.273,0.878095431,0.0233,0.146606962,2.585709659,5,-1.05E+01,0.57172,36.66,28,49,10.94,26.15
177,Mg,Hg,0,0,0,0,0,0,0,0,0.1923,-0.45,0.58272,0.003184245,0.5,-0.000349235,-6.973812357,0.08318406,-0.077673078,0.181451613,0.830285658,0.005,-0.120992136,-2.25,0.957335198,0.598128436,4.448971926,1.96E-01,0.427,0.717249859,0.162073958,0.453774298,0.0225,0.290381125,0.913931185,1.993715533,1,22026.46579,1,1,1,1,1,0.397,1.00E+00,1.469026593,1.713434781,0.904837418,1.63E+01,1.6,2.117000017,2.492833462,18.76512324,2540.204834,1.028395684,1.363425114,1.094174284,1.23367806,1.197217363,0.0337,1.462284589,0.698,0.431710523,4.48168907,1.2,2.56E-02,0.57748,-41.78,12,80,23.23,23.42
403,Zn,Cu,0,0,1,0.5,0,0.5,0,0,0.8712,0.31789,0.33407,-0.000707166,2.475872189,0.019057207,0.084064665,-0.001504815,-0.041718815,-0.1203172,-0.454207789,-0.01,0.008210181,-0.428730572,1.117632368,0.859406238,2.993974711,0.169368532,0.422322775,0.810185185,0.223966693,0.511055486,0.015,0.233990148,1.105170918,1.284025417,0.367879441,1,2.718281828,1,1,2.718281828,1,0.927001588,1,1.078746803,1,6.270022856,0.188657892,1.030454534,1.419067549,0.990663855,0.960789439,0.878095431,2.164090109,0.878095431,1.404947591,1.094174284,0.697676326,1.030454534,1.173510871,2.41,8.499437629,0.860707976,3,0.42339,0.58624,-54.57,30,29,15.24,11.81
17,Al,Cr,5,0,1,0.5,0,5.5,0,0.16665,0.41665,0.554335,0.0915,-0.000612556,-0.830735747,0.023092369,0.397917788,-0.040780319,-0.18717886,-0.177320177,-0.051082812,-0.007539683,0.012793177,1.895008025,1.315453384,0.3403615,10.93317959,2.20E-01,0.624696069,0.554878049,0.289207364,0.503425495,0.012103175,0.292,1.197217363,1.051271096,0.367879441,148.4131591,2.718281828,0.006737947,148.4131591,2.718281828,1,6.07E-01,7.17E-01,2.300899193,1,1.275081375,2.183065322,1.215310986,1.568312185,0.996675538,2.585709659,2.886370989,3.251121455,0.664,0.506616992,1.094174284,1.433329415,1.63231622,2.15,11.9,2.033991259,0.860707976,0.8,1.15374,0.59165,-57.23,13,24,16.6,12
136,Fe,Ge,-4,0,0,0,0,4,1.05535,0.07145,0.73215,0.6929562,0.69,0.00027331,-5.714638728,-0.040792156,4.478600224,-0.0289,0.167091992,0.208924878,0.0260954,0.011038961,-0.089675516,3.668562282,1.24137931,0.649034894,3.077586319,1.66E-01,0.682290764,0.550657479,0.231848362,0.557479645,0.012662338,0.221828909,0.886920437,1.197217363,1,54.59815003,1,54.59815003,0.018315639,1,0.12115313,0.898435825,1.15E+00,0.964929729,1,2.943032169,0.997004496,1.127496852,0.684,0.366106868,1.27124915,3.857425531,0.402121901,1.63,2.29,1.462284589,1.377127764,1.72,0.57694981,0.0508,0.650509095,6.685894442,10,-1.36E+00,0.60555,16.48,26,32,11.77,22.64
123,Cu,Si,0,0,3,0.5,0,2.5,0,0.25,0.45455,1.3126506,0.201,-0.000143734,-0.089533163,-0.034723955,10.72104344,-0.01357068,0.214029274,-0.018607421,-0.07055023,0.006666667,0.002868617,0.764438941,1.475376475,0.565605551,8.396528766,2.02E-01,0.457858536,0.715488215,0.216428946,0.597210715,0.013333333,0.24,0.810584246,1,2.72,4.54E-05,0.367879441,54.59815003,1,20.08553692,1,1.505462259,1.65E+00,4.03E-01,1,1.166189038,1.53E+00,0.691,1.284025417,0.773607995,0.321743704,0.212247974,0.682495053,1.06,0.527,0.990049834,2.459603111,1.34,0.537944438,1.22,3.126768365,0.951,12,-6.71E-02,0.61988,5.08,29,14,11.81,20.02
45,Au,Li,0,0,0,1,0,1,0,0,0.2,1.46,0.377,0.00145639,1.18483361,-0.012687391,12.43627585,0.158915688,0.245178163,0.76201023,0.351,0.015,0.531135531,1.025577885,0.886681383,0.760165738,7.686200229,0.436328839,0.33463157,0.975723623,0.252768069,0.498528931,0.0175,0.504,0.923,0.210136071,1,4.54E-05,1,1,1,1,1,2.611696473,1.00E+00,6.70E-01,0.571209064,0.184416038,2.16E-02,5.43E-01,0.1,0.544,0.044600955,6.38E-05,1.99E-01,1.57E+00,1.15E+00,6.38E-01,7.48E-01,6.33E-02,0.349937749,0.0556,0.113041531,0.055,15,-1.01E+01,0.63382,-19.24,79,3,16.96,21.61
261,Pd,Bi,0,0,3,0,0,1.5,0,0.0517,0.6724,0.752251,0.35479,1.29E-03,-0.717752952,-0.039670226,-1.309067482,-0.011499485,0.092587861,0.426433366,0.201646188,0.017592593,-0.088183422,1.420039808,1.112281934,0.749509979,2.963149495,1.01E-01,0.378472222,0.474029475,0.218969359,0.454457196,0.016203704,0.202821869,1.094174284,0.835270211,7.389056099,1,1,20.08553692,1,20.08553692,1,1.071436209,1.11E+00,0.519338185,1.620605751,1.462609253,0.349483126,1.55,0.272531793,1.169691455,3.353484653,244.6919323,0.224697551,1.150273799,0.386741023,1.377127764,1.061836547,1.27,0.635718134,0.045,0.180865793,9.487735836,0.2,-9.09E+00,0.63486,52.59,46,83,14.72,35.38
252,Pb,Ca,0,0,-4,0,0,2,0,0.0357,0.17855,0.191,0.37224,-0.000768113,37.92988628,-0.009971576,2.952475513,0.198135198,-0.145135566,0.675438596,0.0509,-0.00545,0.173886043,21.76825441,0.814536341,0.484590092,3.339094261,0.154319846,0.400702427,0.687767094,0.355477855,0.405901116,0.0181,0.264,1.35,0.264477261,1,4.54E-05,1,0.018315639,1,0.018315639,1,2.53E+00,9.31E-01,0.699702524,0.60653066,0.717364643,0.271579599,0.827,0.212,0.719542274,1.10E-01,0.00037447,0.757296822,0.835270211,1.46,0.6,0.472,0.183,2.484322533,0.463013068,0.826959134,0.0608,1,-5.73E+00,0.64329,-7.78,82,20,30.33,43.48
