index,solution,solute,'det_sv_NdUnfilled','det_sv_NfUnfilled','det_sv_NUnfilled','AVE_sv_NsUnfilled','AVE_sv_NfUnfilled','AVE_sv_NUnfilled','AVE_sv_GSmagmom','AVE_sv_frac_pValence','AVE_sv_frac_dValence','AVE_sv_EA（wiki)','AVE_Electrochemical weight equivalent_sv','reci_det_sv_MeltingT','reci_det_sv_EA（wiki)','reci_det_sv_Volume','reci_det_Electrochemical weight equivalent_sv','reci_det_Electronegativity absolute_sv','reci_det_Radii pseudo-potential (Zunger)_sv','reci_det_sv_nw','reci_det_Energy cohesive (Brewer)_sv','reci_det_Enthalpy of vacancies (Miedema)_sv','reci_det_Nuclear charge effective (Slater)_sv','reci_ave_sv_EA（wiki)','reci_ave_sv_R_ionic(wiki)','reci_ave_sv_Ve','reci_ave_Electrochemical weight equivalent_sv','reci_ave_Charge nuclear effective (Clementi)_sv','reci_ave_Distance from valence electron (Schubert)_sv','reci_ave_Electronegativity (Martynov&Batsanov)_sv','reci_ave_Electronegativity absolute_sv','reci_ave_Radii pseudo-potential (Zunger)_sv','reci_ave_Enthalpy of vacancies (Miedema)_sv','reci_ave_Nuclear charge effective (Slater)_sv','exp_det_sv_CovalentRadius','exp_det_sv_Electronegativity（Pauling scale）','exp_det_sv_NsValence','exp_det_sv_NdValence','exp_det_sv_NsUnfilled','exp_det_sv_NpUnfilled','exp_det_sv_NdUnfilled','exp_det_sv_NUnfilled','exp_det_sv_GSmagmom','exp_det_sv_frac_sValence','exp_det_sv_frac_pValence','exp_det_sv_frac_dValence','exp_det_sv_frac_fValence','exp_det_sv_EA（wiki)','exp_det_sv_Ionic energy/ev','exp_det_sv_R_ionic(wiki)','exp_det_Phi_sv','exp_det_Electrochemical weight equivalent_sv','exp_det_Atomic electron scattering factor at 0.5_sv','exp_det_Charge nuclear effective (Clementi)_sv','exp_det_Compression modulus_sv','exp_det_Distance from core electron (Schubert)_sv','exp_det_Distance from valence electron (Schubert)_sv','exp_det_Electronegativity (Alfred-Rochow)_sv','exp_det_Electronegativity (Martynov&Batsanov)_sv','exp_det_Electronegativity absolute_sv','exp_det_Radii pseudo-potential (Zunger)_sv','exp_det_sv_nw','exp_det_Energy cohesive (Brewer)_sv','exp_det_Nuclear charge effective (Slater)_sv','cmax','MA',ev_ratio,sf,N_sv,N_so,sv_Volume,so_Volume
314,Rh,Pt,-1,0,-1,1,0,2.5,0,0,0.63195,1.633995,0.386195,4.28E-05,-0.404408753,-0.006396476,-1.773652831,-0.053986711,-0.026455026,-0.006181274,-0.002680167,0.000189,-0.009496676,0.672770468,1.153032906,1.121495162,2.86,0.112,0.557546794,0.513036386,0.205564784,0.383597884,0.006155303,0.251661918,0.941764534,1,1,2.718281828,1,1,0.367879441,0.367879441,1,0.932953424,1,0.598158207,1.791942093,2.670351202,4.48,1.144536784,1.28,1.270194451,3.004166024,22.4210444,1.082204322,1.616074402,7.389056099,0.990049834,0.923116346,3.669296668,1.197217363,1.21,1.094174284,1.161834243,100,-0.00586,1.00785,10.52,45,78,13.77,15.1
323,Ru,Pd,-3,0,-4,0.5,0,2,0,0,0.9375,0.80426,0.269945,0.000163,0.823240526,-0.005757185,-0.177815303,0.002496879,0.024286106,0.051460138,0.108701456,0.002002002,-0.019753086,1.367296021,1.294687604,0.634441783,3.71,0.131,0.543846899,0.494191722,0.223470662,0.396020212,0.006406406,0.256790123,0.93239382,1,0.367879441,20.08553692,0.367879441,1,0.049787068,0.018315639,1,0.882496903,1,1.133148453,1,0.616165304,2.654881444,0.913931185,1.051271096,1.013034214,1.072508181,1.476980794,0.246596964,1.506817785,6.753088799,0.93239382,1.11627807,0.951229425,0.856415177,0.23,0.057844321,1.349858808,3,0.0086,0.94289,2.28,44,46,13.57,14.72
41,Au,Ge,0,0,3,0.5,0,2.5,0,0.07145,0.55715,1.77,0.434625,7.77E-05,0.378081839,-0.014792653,3.848824127,0.044081079,0.265085791,0.130707126,-0.00273,0.00818,-0.061104088,0.622201999,0.905838471,1.046216127,3.392474368,0.119,0.422489158,0.671424349,0.195350765,0.508482745,0.014090909,0.207543194,0.852,0.58860497,2.718281828,1,0.367879441,54.59815003,1,20.08553692,1,1.108380565,1.153614434,1.369300465,0.571209064,0.340979268,0.266,0.527,0.548811636,0.6107363,0.197898699,0.015607558,0.382892886,0.923116346,0.39455371,1.82,2.23,0.31,0.332871084,0.273,1.040810774,4.263114515,3,-0.631,0.79062,5.54,79,32,16.96,22.64
283,Pt,Al,-1,0,3,0.5,0,3.5,0,0.16665,0.1875,1.28,0.29947,0.000581412,1.839809807,-0.005984202,8.757076483,0.131026095,0.226644555,0.193065406,0.124,0.00962,0.038800705,1.390470995,1.272655634,0.885059277,6.36,0.169,0.403077207,0.566658153,0.244084476,0.483692648,0.011061508,0.266313933,0.861,0.512,2.718281828,0.000123,0.367879441,148.4131591,0.367879441,20.08553692,1,1.87,1.4,0.687289279,0.558053747,0.18410114,0.051153212,0.767,0.235,0.661913762,0.05726876,0.001255778,0.12732658,0.990049834,0.292292578,1.03,0.763,0.0935,0.358796465,0.0529,0.086293586,0.57694981,10,-0.932,0.8255,-9.25,78,13,15.1,16.6
258,Pb,Sn,0,0,0,0,0,4,0,0.10715,0.5357,0.734,0.42216,0.000315,-1.904087302,0.003195709,1.389070262,-0.023852117,0.053445994,-0.131578947,-0.174,-0.000833,0,1.85126762,0.978349488,0.714755569,2.557391635,0.0956,0.432908546,0.526374113,0.244484198,0.505191897,0.020416667,0.17699115,0.932,0.690734331,1,1,1,1,1,1,1,1.074118151,1.074118151,1.429321706,0.60653066,2.128354189,0.93,0.607,1.051271096,0.795089971,0.353454682,0.041171871,1.973877732,0.980198673,0.980198673,1.19,0.961,1.49,0.810584246,1.462284589,3.034358394,1,5,0.0147,1.00643,-8.25,82,50,30.33,27.65
91,Cr,Al,-5,0,-1,0.5,0,5.5,0,0.16665,0.41665,0.554335,0.0915,0.000612556,0.830735747,-0.023092369,-0.397917788,0.040780319,0.18717886,0.177320177,0.051082812,0.007539683,-0.012793177,1.895008025,1.315453384,0.3403615,10.93317959,0.22,0.624696069,0.554878049,0.289207364,0.503425495,0.012103175,0.292110874,0.835270211,0.951229425,2.718281828,0.006737947,0.367879441,148.4131591,0.006737947,0.367879441,1,1.648721271,1.4,0.434612695,1,0.784263671,0.458071497,0.823,0.638,1.003335551,0.386741023,0.34645581,0.307586171,1.51,1.973877732,0.913931185,0.697676326,0.613,0.465333931,0.0837,0.491644197,1.161834243,38,-0.834,0.91048,25.95,24,13,12,16.6
130,Fe,Al,-4,0,1,0,0,4.5,1.05535,0.16665,0.375,0.293033,0.643,0.000519091,-4.215505748,-0.024720803,9.895934488,0.063292105,0.123081276,0.19019019,0.061340391,0.008730159,0.019047619,4.418128772,1.407407407,0.430208569,5.79,0.215,0.679790702,0.604279246,0.277951471,0.535474287,0.011507937,0.276190476,0.895834135,0.802518798,1,0.002478752,1,148.4131591,0.018315639,2.718281828,0.12115313,1.51694736,1.4,0.472366553,1,1.322592731,0.147101861,0.928,0.48190899,0.332954312,0.357006961,0.256660777,0.382510184,1.68,2.339646852,0.843664817,0.970445534,0.436049286,0.647264667,0.0578,0.410655753,0.778800783,25,-1.54385,0.79972,12.79,26,13,11.77,16.6
376,Tl,In,0,0,0,0,0,5,0,0.05695,0.5698,0.38,0.55121,0.000594,-0.047810579,0.003251415,1.106230168,0.010080645,0.040377585,-0.089285714,-0.135,-0.000988,0,2.628614604,0.836792942,0.720923407,1.97,0.0998,0.435731916,0.602606454,0.317540323,0.467616086,0.022233202,0.2,0.97,1.173510871,1,1,1,1,1,1,1,1.08296213,1.04,1.490035582,0.595412998,1.006943999,0.725,0.497,1.061836547,0.733740394,0.339595526,0.022822691,1.053375743,0.960789439,1.010050167,1.05,0.942,0.905,0.831104284,1.221402758,1.896480879,1,6.5,0.0112,1.01576,-7.06,81,49,28.58,26.15
248,Os,Ta,3,0,3,0,0,5.5,0,0,0.2153,0.7004,0.435495,1.47E-06,2.168159311,-0.01595492,0.651838267,0.03922737,-0.018935551,0.072968999,0.001057769,-0.000317,0.036363636,2.011895577,1.230745998,1.313762154,2.34160114,0.101,0.675797036,0.528002229,0.223695318,0.367890715,0.004603175,0.284848485,1.296930087,0.497,1,0.049787068,1,1,20.08553692,20.08553692,1,1.01,1,0.891544435,1.105613075,0.470104626,0.411231073,1.094174284,0.259240261,0.885830195,0.913931185,0.453844795,0.113041531,1.150273799,1.476980794,0.826959134,1.094174284,0.453844795,1.15,0.135335283,0.93239382,0.637628152,20,-0.89648,1.00649,29.57,76,73,13.99,18.01
14,Ag,Zn,0,0,-1,0.5,0,0.5,0,0,0.8712,0.352235,0.228345,0.000633906,-2.433261529,0.007000151,-5.527664168,-0.000506124,0.110862262,0.037957212,0.40175769,0.008888889,-0.008210181,-0.450035902,0.955778717,0.716092158,5.715774462,0.146,0.398658137,0.814511942,0.224972163,0.476483763,0.015555556,0.233990148,0.794533603,0.755783741,2.718281828,1,0.367879441,1,1,0.367879441,1,1.078746803,1,0.927001588,1,0.14890154,6.16,0.664,0.779,1.247111404,0.527292424,0.12745397,0.664314232,0.951229425,0.501576069,1.27124915,1.447734615,1.01,0.609570907,0.803,0.201896518,1.161834243,35,0.0356,0.96561,-13.74,47,30,17.06,15.24
